"block_name","range","count_public_assigned_characters","count_real_scalar_values_including_private_use","count_all_expanded_code_points_including_surrogates","has_public_assigned_characters","has_real_scalar_values","is_top30_public_assigned","is_zero_public_assigned","is_emoticons"
"Basic Latin","U+0000..U+007F","128","128","128","True","True","False","False","False"
"Latin-1 Supplement","U+0080..U+00FF","128","128","128","True","True","False","False","False"
"Latin Extended-A","U+0100..U+017F","128","128","128","True","True","False","False","False"
"Latin Extended-B","U+0180..U+024F","208","208","208","True","True","False","False","False"
"IPA Extensions","U+0250..U+02AF","96","96","96","True","True","False","False","False"
"Spacing Modifier Letters","U+02B0..U+02FF","80","80","80","True","True","False","False","False"
"Combining Diacritical Marks","U+0300..U+036F","112","112","112","True","True","False","False","False"
"Greek and Coptic","U+0370..U+03FF","135","135","135","True","True","False","False","False"
"Cyrillic","U+0400..U+04FF","256","256","256","True","True","False","False","False"
"Cyrillic Supplement","U+0500..U+052F","48","48","48","True","True","False","False","False"
"Armenian","U+0530..U+058F","91","91","91","True","True","False","False","False"
"Hebrew","U+0590..U+05FF","88","88","88","True","True","False","False","False"
"Arabic","U+0600..U+06FF","256","256","256","True","True","False","False","False"
"Syriac","U+0700..U+074F","77","77","77","True","True","False","False","False"
"Arabic Supplement","U+0750..U+077F","48","48","48","True","True","False","False","False"
"Thaana","U+0780..U+07BF","50","50","50","True","True","False","False","False"
"NKo","U+07C0..U+07FF","62","62","62","True","True","False","False","False"
"Samaritan","U+0800..U+083F","61","61","61","True","True","False","False","False"
"Mandaic","U+0840..U+085F","29","29","29","True","True","False","False","False"
"Syriac Supplement","U+0860..U+086F","11","11","11","True","True","False","False","False"
"Arabic Extended-B","U+0870..U+089F","43","43","43","True","True","False","False","False"
"Arabic Extended-A","U+08A0..U+08FF","96","96","96","True","True","False","False","False"
"Devanagari","U+0900..U+097F","128","128","128","True","True","False","False","False"
"Bengali","U+0980..U+09FF","96","96","96","True","True","False","False","False"
"Gurmukhi","U+0A00..U+0A7F","80","80","80","True","True","False","False","False"
"Gujarati","U+0A80..U+0AFF","91","91","91","True","True","False","False","False"
"Oriya","U+0B00..U+0B7F","91","91","91","True","True","False","False","False"
"Tamil","U+0B80..U+0BFF","72","72","72","True","True","False","False","False"
"Telugu","U+0C00..U+0C7F","101","101","101","True","True","False","False","False"
"Kannada","U+0C80..U+0CFF","92","92","92","True","True","False","False","False"
"Malayalam","U+0D00..U+0D7F","118","118","118","True","True","False","False","False"
"Sinhala","U+0D80..U+0DFF","91","91","91","True","True","False","False","False"
